,strike,bid,ask,volume,Spot,Moneyness,TTM,mid,vi_bs
0,3525.0,558.6,565.8,25.0,4072.429931640625,1.1552992713874113,34,562.2,0.2733861363363281
1,3675.0,416.9,423.8,24.0,4072.429931640625,1.1081441990858845,34,420.35,0.2577210537266002
2,3745.0,352.7,360.3,26.0,4072.429931640625,1.0874312234020358,34,356.5,0.2483421423211148
3,3790.0,312.7,319.3,29.0,4072.429931640625,1.0745197708814314,34,316.0,0.23975765734002866
4,3825.0,282.8,288.9,20.0,4072.429931640625,1.0646875638276143,34,285.85,0.2351000551335977
5,3855.0,257.2,263.4,24.0,4072.429931640625,1.0564020574943256,34,260.29999999999995,0.2299420408154051
6,3885.0,232.6,238.7,12.0,4072.429931640625,1.0482445126488096,34,235.65,0.2254247681138344
7,3910.0,212.5,217.8,11.0,4072.429931640625,1.041542182005275,34,215.15,0.22024995330711844
8,3965.0,172.8,173.6,12.0,4072.429931640625,1.027094560312894,34,173.2,0.2115013897618165
9,4000.0,148.2,149.0,634.0,4072.429931640625,1.0181074829101562,34,148.6,0.20658944833775306
10,4005.0,144.3,145.2,13.0,4072.429931640625,1.016836437363452,34,144.75,0.20489423659440384
11,4015.0,138.3,139.2,17.0,4072.429931640625,1.0143038434970424,34,138.75,0.20491658196099785
12,4020.0,134.1,135.3,23.0,4072.429931640625,1.0130422715523943,34,134.7,0.20260156476457072
13,4030.0,127.8,128.7,31.0,4072.429931640625,1.0105285190175248,34,128.25,0.20123154967135093
14,4060.0,109.3,110.2,13.0,4072.429931640625,1.0030615595173953,34,109.75,0.19705113630844207
15,4070.0,103.6,104.3,17.0,4072.429931640625,1.0005970348011364,34,103.95,0.19577989977442306
16,4075.0,99.9,100.8,194.0,4072.429931640625,0.9993693083780676,34,100.35,0.19360931409323706
17,4085.0,95.1,95.7,11.0,4072.429931640625,0.9969228718826499,34,95.4,0.19357227426642587
18,4105.0,83.3,84.2,14.0,4072.429931640625,0.9920657567943058,34,83.75,0.18896597391347136
19,4130.0,71.6,72.5,13.0,4072.429931640625,0.9860605161357444,34,72.05,0.1870671293332853
20,4145.0,64.7,65.3,22.0,4072.429931640625,0.9824921427359772,34,65.0,0.1848102493647977
21,4155.0,60.7,61.4,19.0,4072.429931640625,0.9801275407077316,34,61.05,0.18441259602224944
22,4165.0,56.5,57.2,38.0,4072.429931640625,0.9777742933110743,34,56.85,0.1831323436511015
23,4180.0,50.7,51.4,23.0,4072.429931640625,0.974265533885317,34,51.05,0.1815811583563434
24,4200.0,43.3,43.9,630.0,4072.429931640625,0.9696261742001488,34,43.6,0.17879248526353625
25,4210.0,40.3,41.0,165.0,4072.429931640625,0.9673230241426662,34,40.65,0.17858103590137506
26,4225.0,35.6,36.2,17.0,4072.429931640625,0.963888741216716,34,35.90000000000001,0.1768015159755283
27,4240.0,31.3,31.9,86.0,4072.429931640625,0.9604787574624116,34,31.6,0.17520546443823276
28,4250.0,28.9,29.6,236.0,4072.429931640625,0.958218807444853,34,29.25,0.17496601684889845
29,4265.0,25.3,25.9,91.0,4072.429931640625,0.9548487530224208,34,25.6,0.1735642543572408
30,4275.0,23.2,23.7,14.0,4072.429931640625,0.9526151886878657,34,23.45,0.1729096760564875
31,4290.0,20.3,20.9,24.0,4072.429931640625,0.949284366349796,34,20.6,0.1722990689854881
32,4310.0,17.2,17.5,24.0,4072.429931640625,0.944879334487384,34,17.35,0.17190496309909478
33,4320.0,15.6,16.0,46.0,4072.429931640625,0.9426921138057004,34,15.8,0.17140444065413735
34,4330.0,14.0,14.5,30.0,4072.429931640625,0.9405149957599596,34,14.25,0.17049951893438914
35,4345.0,12.2,12.6,17.0,4072.429931640625,0.9372681085479,34,12.4,0.17017507506790452
36,4355.0,11.1,11.5,18.0,4072.429931640625,0.9351159429714408,34,11.3,0.17004471230067456
37,4365.0,9.9,10.4,14.0,4072.429931640625,0.9329736384056416,34,10.15,0.16932320322448616
38,4375.0,9.1,9.4,82.0,4072.429931640625,0.9308411272321429,34,9.25,0.1693455522668827
39,4380.0,8.6,8.9,29.0,4072.429931640625,0.9297785232056222,34,8.75,0.1689840122749506
40,4400.0,7.0,7.3,17.0,4072.429931640625,0.9255522571910512,34,7.15,0.16860373532830725
41,4425.0,5.4,5.7,106.0,4072.429931640625,0.9203231483933616,34,5.5500000000000025,0.16842926664337235
42,4445.0,4.4,4.7,239.0,4072.429931640625,0.9161822118426602,34,4.550000000000002,0.16864200025968884
43,4460.0,3.7,4.0,100.0,4072.429931640625,0.9131008815337724,34,3.85,0.1683074576235656
44,4475.0,3.2,3.5,134.0,4072.429931640625,0.9100402081878493,34,3.35,0.1689583547858836
45,4510.0,2.3,2.5,12.0,4072.429931640625,0.9029778118937084,34,2.4,0.1703396227252025
46,4550.0,1.55,1.75,250.0,4072.429931640625,0.895039545415522,34,1.65,0.17227563924148512
47,4560.0,1.4,1.6,15.0,4072.429931640625,0.8930767393948739,34,1.5,0.17273658251123872
48,4580.0,1.15,1.3,18.0,4072.429931640625,0.8891768409695687,34,1.225,0.17338915545104913
49,4610.0,0.85,1.0,54.0,4072.429931640625,0.8833904407029556,34,0.925,0.17498043398141416
50,3595.0,530.5,538.0,18.0,4072.429931640625,1.1328038752825105,85,534.25,0.2493319184024321
51,3660.0,474.8,481.9,15.0,4072.429931640625,1.112685773672302,85,478.35,0.2445278453064883
52,3790.0,369.9,372.2,22.0,4072.429931640625,1.0745197708814314,85,371.05,0.2322165635350325
53,3855.0,317.3,322.9,166.0,4072.429931640625,1.0564020574943256,85,320.1,0.22491883761133435
54,3900.0,286.1,287.1,16.0,4072.429931640625,1.0442128029847757,85,286.6,0.22023246588340328
55,3920.0,271.2,272.2,14.0,4072.429931640625,1.0388851866430169,85,271.7,0.21749090387197711
56,3950.0,249.7,250.9,19.0,4072.429931640625,1.03099491940269,85,250.3,0.21398098640756125
57,3975.0,231.6,233.6,17.0,4072.429931640625,1.0245106746265724,85,232.6,0.21052933834696752
58,3990.0,222.0,224.5,50.0,4072.429931640625,1.0206591307369988,85,223.25,0.2098543893995589
59,3995.0,219.0,220.2,162.0,4072.429931640625,1.0193817100477158,85,219.6,0.2088554079459204
60,4005.0,212.6,213.8,165.0,4072.429931640625,1.016836437363452,85,213.2,0.2079791861240565
61,4020.0,202.6,203.8,166.0,4072.429931640625,1.0130422715523943,85,203.2,0.2059217061743676
62,4030.0,197.1,198.1,218.0,4072.429931640625,1.0105285190175248,85,197.6,0.20580677935625724
63,4050.0,184.6,185.8,68.0,4072.429931640625,1.0055382547260805,85,185.2,0.20364444268072607
64,4055.0,180.4,181.7,15.0,4072.429931640625,1.0042983801826448,85,181.05,0.2016727385850044
65,4065.0,174.3,175.7,15.0,4072.429931640625,1.0018277814614085,85,175.0,0.2005537107915501
66,4075.0,168.3,169.7,237.0,4072.429931640625,0.9993693083780676,85,169.0,0.19937758598474645
67,4105.0,151.2,152.6,90.0,4072.429931640625,0.9920657567943058,85,151.89999999999995,0.1962573191432912
68,4120.0,143.8,144.7,173.0,4072.429931640625,0.9884538669030644,85,144.25,0.19541665146465936
69,4150.0,127.6,129.0,413.0,4072.429931640625,0.9813084172628012,85,128.3,0.1920250915282896
70,4175.0,116.6,117.4,160.0,4072.429931640625,0.9754323189558384,85,117.0,0.19083591198161645
71,4200.0,104.8,105.6,22.0,4072.429931640625,0.9696261742001488,85,105.2,0.188153867196798
72,4220.0,96.0,97.2,80.0,4072.429931640625,0.9650307894882998,85,96.6,0.1864734203294421
73,4300.0,66.7,67.9,641.0,4072.429931640625,0.9470767282885174,85,67.30000000000001,0.18093408464591512
74,4400.0,40.3,41.3,1193.0,4072.429931640625,0.9255522571910512,85,40.8,0.17580274480005462
75,4460.0,29.0,29.7,59.0,4072.429931640625,0.9131008815337724,85,29.35,0.17324267120286302
